iter	RMSE
568	91894.62473
569	91885.20812
570	91861.16419
571	91840.92883
572	91828.05184
573	91824.60263
574	91824.11866
575	91816.62623
576	91806.89118
577	91790.5171
578	91780.33029
579	91764.96043
580	91753.10775
581	91740.74866
582	91734.4198
583	91726.47223
584	91719.51939
585	91710.80281
586	91699.75219
587	91683.18532
588	91673.45561
589	91651.01321
590	91644.19108
591	91627.78218
592	91610.05441
593	91596.03828
594	91585.74068
595	91581.27374
596	91565.42993
597	91547.04271
598	91537.97857
599	91528.60619
600	91519.42968
601	91516.18148
602	91496.42108
603	91485.66648
604	91478.40749
605	91466.3029
606	91455.16527
607	91449.36753
608	91437.9452
609	91408.76846
610	91388.40933
611	91377.47787
612	91361.94749
613	91346.06186
614	91336.98025
615	91325.51959
616	91305.25502
617	91298.07318
618	91287.32136
619	91268.15459
620	91258.0517
621	91248.80135
622	91220.51853
623	91216.38094
624	91206.87701
625	91188.44786
626	91181.67321
627	91160.62703
628	91149.39203
629	91138.15696
630	91134.88576
631	91130.55751
632	91107.76435
633	91094.44322
634	91081.80475
635	91066.91769
636	91053.5648
637	91047.76499
638	91035.1118
639	91027.24419
640	90990.22509
641	90973.9555
642	90959.87364
643	90947.16847
644	90945.32431
645	90933.97385
646	90926.08567
647	90915.52758
648	90907.18619
649	90894.81983
650	90882.02845
651	90871.06632
652	90859.5881
653	90847.68667
654	90842.1719
655	90833.88614
656	90833.10609
657	90830.24871
658	90811.50899
659	90799.62011
660	90783.21968
661	90775.55287
662	90753.47842
663	90744.26273
664	90735.86939
665	90726.60329
666	90718.23358
667	90709.15908
668	90701.59876
669	90694.36853
670	90692.41666
671	90680.85617
672	90674.24392
673	90664.87293
674	90653.33665
675	90650.77803
676	90647.11348
677	90634.5724
678	90629.35779
679	90611.04036
680	90600.12629
681	90584.41292
682	90571.79183
683	90560.42009
684	90542.31311
685	90527.32994
686	90520.20904
687	90509.26837
688	90493.24805
689	90486.28625
690	90478.51098
691	90468.15253
692	90459.58978
693	90443.58566
694	90422.44887
695	90409.25766
696	90392.73623
697	90383.06135
698	90373.36079
699	90365.14631
700	90349.99923
701	90340.97486
702	90333.38452
703	90324.31176
704	90313.96326
705	90310.02601
706	90305.49903
707	90292.28558
708	90278.31191
709	90268.67587
710	90263.48496
711	90252.64136
712	90241.55488
713	90234.53534
714	90227.11346
715	90204.39903
716	90195.55854
717	90185.3037
718	90170.47551
719	90163.1562
720	90146.43606
721	90138.51436
722	90132.78488
723	90122.44386
724	90107.14605
725	90097.5862
726	90091.28574
727	90066.07214
728	90055.67649
729	90027.60054
730	90014.02291
731	90006.46213
732	89995.70208
733	89993.34462
734	89986.61128
735	89981.22864
736	89968.98481
737	89959.08734
738	89945.91661
739	89939.56827
740	89926.78626
741	89908.79222
742	89904.85923
743	89892.11615
744	89882.14436
745	89873.06945
746	89863.44905
747	89854.10271
748	89844.76243
749	89833.24456
750	89828.93981
751	89822.96612
752	89816.76133
753	89812.27288
754	89809.04094
755	89801.32639
756	89783.91175
757	89775.15385
758	89763.79806
759	89743.32737
760	89715.33164
761	89699.27439
762	89689.53464
763	89684.77784
764	89672.12588
765	89656.63529
766	89646.26175
767	89631.68893
768	89619.4647
769	89617.26867
770	89608.41427
771	89600.40549
772	89589.90714
773	89584.44869
774	89569.22616
775	89559.94004
776	89550.86698
777	89542.21449
778	89538.42702
779	89523.19862
780	89501.44654
781	89490.51953
782	89481.35969
783	89468.82068
784	89453.488
785	89442.87879
786	89433.67767
787	89421.39107
788	89407.43234
789	89400.6471
790	89390.73011
791	89383.27663
792	89376.82722
793	89364.9208
794	89352.37891
795	89338.92639
796	89332.65906
797	89321.02324
798	89310.10001
799	89300.69802
800	89285.17074
801	89278.29036
802	89265.81666
803	89248.78695
804	89240.03426
805	89224.2988
806	89214.83134
807	89201.7752
808	89194.03343
809	89183.95402
810	89170.20588
811	89163.83048
812	89151.56772
813	89145.54729
814	89128.2464
815	89115.88266
816	89102.84528
817	89097.25126
818	89092.00994
819	89086.68476
820	89077.47903
821	89071.08769
822	89068.78522
823	89053.68468
824	89043.45596
825	89033.4701
826	89026.75153
827	89018.26469
828	89002.57762
829	88988.59968
830	88983.73617
831	88962.20013
832	88950.42937
833	88935.53663
834	88933.46934
835	88914.4896
836	88904.85206
837	88897.28852
